SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3409 N Buchanan St,Arlington,VA,22207,2299900,5,4.5,COUNTRY CLUB MANORS,4660,9015,2022,97,494,,Active,,,https://www.redfin.com/VA/Arlington/3409-N-Buchanan-St-22207/home/11229585,BRIGHT MLS,VAAR2013122,N,Y,38.9113315,-77.1346519
MLS Listing,,Single Family Residential,2727 Lang St S,Arlington,VA,22206,1695000,5,4.5,OAKCREST,4500,,2022,101,377,,Active,,,https://www.redfin.com/VA/Arlington/2727-S-Lang-St-22202/home/178441298,BRIGHT MLS,VAAR2012908,N,Y,38.8482357,-77.0673171
MLS Listing,,Single Family Residential,1127 28th St S,Arlington,VA,22206,1595000,5,3.5,OAKCREST,4000,7375,2022,101,399,,Active,,,https://www.redfin.com/VA/Arlington/1127-28th-St-S-22206/home/11277386,BRIGHT MLS,VAAR2012910,N,Y,38.8464035,-77.0668123
MLS Listing,,Townhouse,1761 S Hayes St #1,Arlington,VA,22202,749900,3,2.5,SOUTHAMPTON,1568,,1979,113,478,541,Active,,,https://www.redfin.com/VA/Arlington/1761-S-Hayes-St-22202/unit-1/home/11275665,BRIGHT MLS,VAAR2012488,N,Y,38.859284,-77.058402
MLS Listing,,Townhouse,1603 S Hayes St #1,Arlington,VA,22202,652000,2,1.5,SOUTHAMPTON,1232,,1979,111,529,427,Active,,,https://www.redfin.com/VA/Arlington/1603-S-Hayes-St-22202/unit-1/home/11275571,BRIGHT MLS,VAAR2012484,N,Y,38.8596098,-77.0591316
MLS Listing,,Townhouse,1103 16th St S,Arlington,VA,22202,799000,2,2.0,ADDISON HEIGHTS,1586,2477,1939,111,504,,Active,,,https://www.redfin.com/VA/Arlington/1103-16th-St-S-22202/home/11275714,BRIGHT MLS,VAAR2012476,N,Y,38.8585745,-77.0653786
MLS Listing,,Single Family Residential,934 N Cleveland St,Arlington,VA,22201,3295000,6,8.0,CLARENDON,6602,7122,2023,129,499,,Active,,,https://www.redfin.com/VA/Arlington/934-N-Cleveland-St-22201/home/11255015,BRIGHT MLS,VAAR2011182,N,Y,38.8842673,-77.0889801
MLS Listing,,Single Family Residential,2727 N George Mason Dr,Arlington,VA,22207,2399000,6,5.5,MILBURN TERRACE,5227,5182,2022,131,459,,Active,,,https://www.redfin.com/VA/Arlington/2727-N-George-Mason-Dr-22207/home/11227471,BRIGHT MLS,VAAR2011008,N,Y,38.9025464,-77.1357755
MLS Listing,,Single Family Residential,5205 N Carlin Springs Rd,Arlington,VA,22203,1895000,5,5.5,BONAIR,5160,8343,2021,182,367,,Active,,,https://www.redfin.com/VA/Arlington/5205-N-Carlin-Springs-Rd-22203/home/11243029,BRIGHT MLS,VAAR2008282,N,Y,38.8731171,-77.1203139
MLS Listing,,Single Family Residential,4020 N Stuart St,Arlington,VA,22207,2598000,6,6.5,WALTER R REYNOLDS 3RD AD,7100,11768,2022,202,366,,Active,,,https://www.redfin.com/VA/Arlington/4020-N-Stuart-St-22207/home/9415777,BRIGHT MLS,VAFX2029674,N,Y,38.9259137,-77.1311912
MLS Listing,,Single Family Residential,4955 Old Dominion Dr,Arlington,VA,22207,2800000,6,6.5,COUNTRY CLUB MANORS,6653,9011,2022,252,421,,Active,,,https://www.redfin.com/VA/Arlington/4955-Old-Dominion-Dr-22207/home/11228997,BRIGHT MLS,VAAR2005630,N,Y,38.9106391,-77.1399552
MLS Listing,,Townhouse,1102 South Highland St #3,Arlington,VA,22204,824900,3,2.5,Arlington,1995,,2021,272,413,465,Active,,,https://www.redfin.com/VA/Arlington/1102-S-Highland-St-22204/unit-3/home/176345056,BRIGHT MLS,VAAR2005006,N,Y,38.8606309,-77.0890368
MLS Listing,,Single Family Residential,1300 N Hudson St,Arlington,VA,22201,2650000,7,4.0,LYON VILLAGE,4010,3759,1940,283,661,,Active,,,https://www.redfin.com/VA/Arlington/1300-N-Hudson-St-22201/home/11248301,BRIGHT MLS,VAAR2003964,N,Y,38.8877654,-77.0976864
MLS Listing,,Townhouse,1108 South Highland St #1,Arlington,VA,22204,444000,1,1.0,Arlington,912,,2021,259,487,213,Active,,,https://www.redfin.com/VA/Arlington/1108-S-Highland-St-22204/unit-1/home/175747828,BRIGHT MLS,VAAR2002246,N,Y,38.8606145,-77.0890365
MLS Listing,,Townhouse,1110 South Highland St #3,Arlington,VA,22204,764900,2,2.5,Arlington,1879,,2021,319,407,456,Active,,,https://www.redfin.com/VA/Arlington/1110-S-Highland-St-22204/unit-3/home/175629933,BRIGHT MLS,VAAR2001722,N,Y,38.8606091,-77.0890364
MLS Listing,,Single Family Residential,5031 34th Rd N,Arlington,VA,22207,2299000,5,5.0,COUNTRY CLUB MANOR,4661,6716,2022,614,493,,Active,,,https://www.redfin.com/VA/Arlington/5031-34th-Rd-N-22207/home/11228971,BRIGHT MLS,VAAR170306,N,Y,38.912918,-77.1405057
For-Sale-by-Owner Listing,,Single Family Residential,2356 S Pierce St,Arlington,VA,22202,1350000,4,3.0,Arlington Ridge,3200,,1959,21,422,,Active,,,https://www.redfin.com/VA/Arlington/2356-S-Pierce-St-22202/home/11277622,FSBO.com,530835,N,Y,38.8507942,-77.0715789
For-Sale-by-Owner Listing,,Single Family Residential,3630 N Rockingham St,Arlington,VA,22213,3000000,4,3.0,Arlington,3000,86,1956,302,1000,,Active,,,https://www.redfin.com/VA/Arlington/3630-N-Rockingham-St-22213/home/9483134,Fizber.com,11445491,N,Y,38.9043394,-77.1583351
