SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-18-2016,Townhouse,207 Wolfe St,Alexandria,VA,22314,1075000,3,2.5,OLD TOWN,1558,1008,1820,35,690,,Pending,,,https://www.redfin.com/VA/Alexandria/207-Wolfe-St-22314/home/11842557,BRIGHT MLS,VAAX2012058,N,Y,38.801202,-77.0425826
MLS Listing,,Townhouse,2817 Eisenhower Ave,Alexandria,VA,22314,1075000,4,4.5,EISENHOWER SQUARE,2580,970,2018,11,417,175,Active,,,https://www.redfin.com/VA/Alexandria/2817-Eisenhower-Ave-22314/home/145284488,BRIGHT MLS,VAAX2013438,N,Y,38.8029171,-77.0817861
PAST SALE,June-16-2003,Single Family Residential,5807 Valley View Dr,Alexandria,VA,22310,1065000,5,3.5,OAKBROOK KNOLLS,4128,11659,1996,12,258,75,Pending,,,https://www.redfin.com/VA/Alexandria/5807-Valley-View-Dr-22310/home/9751442,BRIGHT MLS,VAFX2056346,N,Y,38.7929363,-77.1471906
MLS Listing,,Single Family Residential,239 E Monroe Ave,Alexandria,VA,22301,1050000,3,2.0,COTTAGE PARK,1739,6050,1997,25,604,,Active,,,https://www.redfin.com/VA/Alexandria/239-E-Monroe-Ave-22301/home/11846345,BRIGHT MLS,VAAX2013006,N,Y,38.8202897,-77.0582228
MLS Listing,,Single Family Residential,1800 Drury Ln,Alexandria,VA,22307,1049900,4,2.5,HOLLIN HILLS,1802,19723,1949,4,583,,Active,,,https://www.redfin.com/VA/Alexandria/1800-Drury-Ln-22307/home/9796212,BRIGHT MLS,VAFX2066856,N,Y,38.7591985,-77.0612359
MLS Listing,,Single Family Residential,225 N West,Alexandria,VA,22314,1049500,3,2.5,PARKER GRAY HISTORIC DISTRICT,1568,2183,1920,33,669,,Contingent,,,https://www.redfin.com/VA/Alexandria/225-N-West-St-22314/home/11839633,BRIGHT MLS,VAAX2012162,N,Y,38.8079311,-77.0540065
MLS Listing,,Single Family Residential,5841 Colfax Ave,Alexandria,VA,22311,1049500,4,3.5,THE PALISADES,3210,10422,1984,31,327,13,Active,,,https://www.redfin.com/VA/Alexandria/5841-Colfax-Ave-22311/home/9654906,BRIGHT MLS,VAFX2065862,N,Y,38.8377075,-77.133798
PAST SALE,January-6-1987,Single Family Residential,405 Underhill Pl,Alexandria,VA,22305,1049000,3,3.0,MONTICELLO PARK,2460,8531,1956,3,426,,Pending,,,https://www.redfin.com/VA/Alexandria/405-Underhill-Pl-22305/home/11848941,BRIGHT MLS,VAAX2012990,N,Y,38.8309809,-77.0695329
PAST SALE,May-15-2019,Single Family Residential,2811 Ridge Road Dr,Alexandria,VA,22302,1035000,3,2.0,BRADDOCK HEIGHTS,2454,7277,1940,1,422,,Pending,,,https://www.redfin.com/VA/Alexandria/2811-Ridge-Rd-Dr-22302/home/11849737,BRIGHT MLS,VAAX2012634,N,Y,38.8303442,-77.0783688
MLS Listing,,Single Family Residential,514 Hilltop Ter,Alexandria,VA,22301,1030000,4,2.0,GEORGE WASHINGTON PARK,1918,4964,1945,39,537,,Active,,,https://www.redfin.com/VA/Alexandria/514-Hilltop-Ter-22301/home/11848032,BRIGHT MLS,VAAX2012118,N,Y,38.8108665,-77.0702299
MLS Listing,,Townhouse,961 Powhatan St,Alexandria,VA,22314,1025000,3,3.5,OLD TOWN GATEWAY,1927,1000,1998,26,532,125,Active,,,https://www.redfin.com/VA/Alexandria/961-Powhatan-St-22314/home/11872835,BRIGHT MLS,VAAX2012080,N,Y,38.81599,-77.045439
PAST SALE,November-30-2015,Townhouse,601 S Saint Asaph St,Alexandria,VA,22314,1020000,2,2.5,OLD TOWN SE QUADRANT,1344,1076,1842,30,759,,Pending,,,https://www.redfin.com/VA/Alexandria/601-S-St-Asaph-St-22314/home/11841199,BRIGHT MLS,VAAX2012012,N,Y,38.7991237,-77.047249
MLS Listing,,Single Family Residential,305 Skyhill Rd,Alexandria,VA,22314,1000000,4,3.0,ALEXANDRIA,2756,9200,1955,3,363,,Active,,,https://www.redfin.com/VA/Alexandria/305-Skyhill-Rd-22314/home/11851084,BRIGHT MLS,VAAX2013562,N,Y,38.8113612,-77.0764353
MLS Listing,,Townhouse,212 Gibbon St,Alexandria,VA,22314,1000000,2,2.5,OLD TOWN ALEXANDRIA,1758,1180,1860,5,569,,Contingent,,,https://www.redfin.com/VA/Alexandria/212-Gibbon-St-22314/home/11842460,BRIGHT MLS,VAAX2013468,N,Y,38.7986037,-77.0433359
PAST SALE,August-5-2013,Townhouse,1229 Roundhouse Ln,Alexandria,VA,22314,1000000,3,3.5,OLD TOWN VILLAGE,1816,816,1998,5,551,193,Pending,,,https://www.redfin.com/VA/Alexandria/1229-Roundhouse-Ln-22314/home/11873304,BRIGHT MLS,VAAX2013224,N,Y,38.8023468,-77.0538491
MLS Listing,,Condo/Co-op,1300 King,Alexandria,VA,22314,1000000,0,,OLD TOWN ALEXANDRIA,1000,,,6,1000,,Active,,,https://www.redfin.com/VA/Alexandria/1300-King-St-22314/home/17062126,BRIGHT MLS,VAAX2012000,N,Y,38.8057594,-77.0537255
MLS Listing,,Townhouse,129 Prairie Ln,Alexandria,VA,22314,1000000,3,4.0,EISENHOWER SQUARE,2580,1000,2020,26,388,174,Contingent,,,https://www.redfin.com/VA/Alexandria/129-Prairie-Ln-22314/home/145284510,BRIGHT MLS,VAAX2012860,N,Y,38.8031732,-77.0812016
