SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6710 Rolling Rd,Springfield,VA,22152,689900,4,2.5,WEST SPRINGFIELD,2096,10500,1967,31,329,,Active,,,https://www.redfin.com/VA/West-Springfield/6710-Rolling-Rd-22152/home/9772123,BRIGHT MLS,VAFX2067788,N,Y,38.7699412,-77.2309728
MLS Listing,,Townhouse,7223 Olde Lantern Way,Springfield,VA,22152,589900,3,2.5,OLDE OAK RIDGE,1995,2178,1989,34,296,93,Active,,,https://www.redfin.com/VA/Springfield/7223-Olde-Lantern-Way-22152/home/9775500,BRIGHT MLS,VAFX2064002,N,Y,38.759076,-77.229409
MLS Listing,,Single Family Residential,6929 Colburn Dr,Annandale,VA,22003,800000,4,2.5,SUNSET WOODS,1748,21064,1984,34,458,,Active,,,https://www.redfin.com/VA/Annandale/6929-Colburn-Dr-22003/home/9722395,BRIGHT MLS,VAFX2067240,N,Y,38.8122773,-77.1820809
MLS Listing,,Single Family Residential,8434 Thames St,Springfield,VA,22151,725000,5,3.5,KINGS PARK,2849,10500,1963,33,254,,Active,,,https://www.redfin.com/VA/Springfield/8434-Thames-St-22151/home/9714527,BRIGHT MLS,VAFX2065532,N,Y,38.8085716,-77.2358676
MLS Listing,,Single Family Residential,7661 Long Pine Dr,Springfield,VA,22151,650000,4,3.0,NORTH SPRINGFIELD,2340,20626,1958,38,278,,Active,,,https://www.redfin.com/VA/Springfield/7661-Long-Pine-Dr-22151/home/9746857,BRIGHT MLS,VAFX2066282,N,Y,38.7978837,-77.2072593
MLS Listing,,Townhouse,6585 Forest Dew Ct,Springfield,VA,22152,475000,2,3.0,KEENE MILL VILLAGE SEC 3,1400,1600,1985,32,339,110,Active,,,https://www.redfin.com/VA/Springfield/6585-Forest-Dew-Ct-22152/home/9768370,BRIGHT MLS,VAFX2064966,N,Y,38.7761941,-77.2594295
MLS Listing,,Townhouse,6356 Shaundale Dr,Springfield,VA,22152,525000,4,3.5,SHANNON STATION,1777,1601,1980,40,295,83,Active,,,https://www.redfin.com/VA/Springfield/6356-Shaundale-Dr-22152/home/9740159,BRIGHT MLS,VAFX2064160,N,Y,38.7787008,-77.2523469
MLS Listing,,Single Family Residential,6513 Fleet Dr,Alexandria,VA,22310,599900,3,2.5,SHIRLEY PARK,1625,13547,1952,48,369,,Active,,,https://www.redfin.com/VA/Alexandria/6513-Fleet-Dr-22310/home/9780430,BRIGHT MLS,VAFX2063238,N,Y,38.7762952,-77.1564702
MLS Listing,,Single Family Residential,7205 Kyles Lndg,Springfield,VA,22150,899900,4,2.5,MEYERS,3353,13067,1991,50,268,,Active,,,https://www.redfin.com/VA/SPRINGFIELD/7205-KYLES-LNDG-22150/home/9779016,BRIGHT MLS,VAFX2060844,N,Y,38.761002,-77.199805
MLS Listing,,Single Family Residential,7228 Braddock Rd,Annandale,VA,22003,560000,4,2.5,1ST ADDN LEEWOOD,3588,60866,2008,93,156,,Active,,,https://www.redfin.com/VA/Annandale/7228-Braddock-Rd-22003/home/12065246,BRIGHT MLS,VAFX2054628,N,Y,38.8123145,-77.1952659
